Gss year for this respondent                       ,Welfare,Highways and bridges,Social security,Mass transportation,Parks and recreation,Assistance for childcare,Supporting scientific research        ,Developing alternative energy sources,Foreign aid,"Military, armaments, and defense",Improving the conditions of blacks,Respondent id number,Space exploration program,Improving & protecting environment,Improving & protecting nations health,Solving problems of big cities,Halting rising crime rate,Dealing with drug addiction,Improving nations education system,Ballot used for interview
2016,Not applicable,Too little,Too little,Too little,Too little,Don't know,Too little,Too little,Not applicable,Not applicable,Not applicable,2082,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,About right,About right,About right,About right,Don't know,About right,Not applicable,Not applicable,Not applicable,2083,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Don't know,Too little,Too little,About right,Don't know,Not applicable,Not applicable,Not applicable,2084,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,About right,Too little,Too little,About right,Too little,Too little,Too little,About right,Too little,About right,2085,Too much,Too little,About right,Too little,Too little,About right,Too little,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,2086,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,2087,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,2088,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,About right,About right,Too little,Too little,About right,Too little,Too much,Too little,About right,2089,About right,Too little,About right,About right,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,2090,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,2091,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,Too little,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,2092,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,2093,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too much,Too much,About right,Too little,About right,Too little,Too much,Not applicable,Not applicable,Not applicable,2094,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Don't know,Don't know,Too little,Too little,2095,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,About right,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,2096,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too little,Too little,Too much,About right,Too much,About right,About right,Too much,Too little,About right,2097,Too much,Too much,Too much,Too much,About right,Too much,Too much,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,2098,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Don't know,Too little,Too little,Don't know,Don't know,Not applicable,Not applicable,Not applicable,2099,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,2100,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,Too little,About right,Too much,About right,Too much,About right,Too much,Too little,About right,2101,Too much,About right,Too little,Don't know,Too little,Too little,About right,Ballot c
2016,Too much,Too little,Too little,About right,About right,About right,About right,About right,Too much,Too little,About right,2102,Too much,Too much,Too little,Don't know,Too little,Too little,Too little,Ballot a
2016,About right,Too little,About right,Too little,About right,Too little,Too little,Too little,About right,Too much,About right,2103,About right,Too little,Too little,Don't know,Too little,Too little,About right,Ballot b
2016,Not applicable,Too little,Too little,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,2104,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,2105,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,About right,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2106,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,About right,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2107,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too little,Too little,Don't know,About right,Too little,Don't know,Don't know,Don't know,Too little,Too little,2108,Don't know,Too little,Too little,Don't know,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,About right,Too much,About right,Not applicable,Not applicable,Not applicable,2109,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,About right,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,2110,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,Too little,Too little,About right,Too little,Too little,Too little,About right,Too much,Too little,Too little,2111,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too much,Too little,About right,About right,Too little,Too little,Too much,Not applicable,Not applicable,Not applicable,2112,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,Too little,Too little,Too much,About right,Too much,Too little,Too much,About right,About right,2113,Too much,Too little,Too little,About right,Too little,Too much,Too little,Ballot b
2016,Too much,About right,About right,About right,About right,About right,Too little,Too little,About right,Too much,About right,2114,About right,Too little,Too little,Too little,Too little,About right,Too little,Ballot c
2016,Not applicable,Too much,Too little,Too little,Too little,Too little,Too much,About right,Not applicable,Not applicable,Not applicable,2115,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,About right,Too little,Too little,Too much,Too little,About right,Too little,Too much,2116,Too much,Too little,Too little,Too little,Too little,About right,Too little,Ballot c
2016,Not applicable,Too little,Too little,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,2117,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,Too little,About right,About right,Too little,About right,About right,Too much,About right,About right,2118,About right,About right,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Don't know,Don't know,Too little,Don't know,Don't know,Too much,Don't know,Don't know,Don't know,Too little,No answer,2119,Don't know,Don't know,Don't know,Don't know,Don't know,Too little,Don't know,Ballot c
2016,Not applicable,About right,About right,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,2120,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,Too little,About right,Too little,Too little,Too much,About right,Too much,About right,Don't know,2121,Too much,Too little,Too little,Too much,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,About right,About right,About right,Too much,Too little,About right,Not applicable,Not applicable,Not applicable,2122,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,About right,About right,About right,About right,About right,Too little,About right,Too little,Too little,2123,About right,About right,Too little,Too little,Too little,About right,Too little,Ballot a
2016,Not applicable,About right,Too much,About right,About right,Too much,About right,About right,Not applicable,Not applicable,Not applicable,2124,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,Don't know,Too little,About right,About right,About right,Not applicable,Not applicable,Not applicable,2125,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,About right,Too little,About right,Too little,About right,Too little,Too little,About right,Too little,About right,2126,Too much,Too little,Too little,About right,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,Don't know,Don't know,Don't know,Too much,Too much,Not applicable,Not applicable,Not applicable,2127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,Too much,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2128,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2129,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,Too little,Too much,About right,Too much,About right,About right,Too much,Too little,About right,2130,About right,About right,Too much,Too much,About right,About right,Too much,Ballot a
2016,Not applicable,About right,About right,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,2131,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,Don't know,About right,About right,Too little,Don't know,Don't know,Don't know,About right,Don't know,2132,Don't know,About right,About right,Don't know,Too little,Don't know,About right,Ballot b
2016,No answer,About right,No answer,About right,About right,About right,Don't know,Don't know,Too much,Too little,No answer,2133,About right,Don't know,Too little,Don't know,Too little,Too little,About right,Ballot c
2016,Not applicable,Too much,About right,Too much,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,2134,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,About right,About right,About right,About right,About right,Too much,Too much,Too little,Too much,2135,Too little,Too much,Too much,Too much,Too much,Too little,Too much,Ballot a
2016,Not applicable,About right,About right,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2136,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,About right,Too much,About right,About right,About right,Too much,Too much,Too little,Too much,2137,Too much,Too much,Too much,Too much,About right,About right,About right,Ballot b
2016,Not applicable,Too much,Too little,Too much,Too much,Too much,Too little,Too little,Not applicable,Not applicable,Not applicable,2138,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,About right,Too little,About right,About right,About right,Don't know,Too little,Too much,About right,Too little,2139,About right,Too little,Too little,Too little,Too little,About right,Too little,Ballot c
2016,Not applicable,Too little,About right,Don't know,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,2140,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,2141,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,Too little,About right,About right,About right,Too little,About right,Too little,Too little,Too little,2142,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,About right,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,2143,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,About right,Too much,About right,About right,Too little,Too little,Don't know,About right,Don't know,2144,About right,About right,About right,About right,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,Too little,Too little,Too little,Too much,Too little,Too little,Not applicable,Not applicable,Not applicable,2145,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,Too little,Too much,About right,About right,About right,Too much,About right,Too little,Too little,2146,Too much,About right,About right,Too little,Too little,About right,Too little,Ballot b
2016,Not applicable,Too much,Too little,About right,About right,About right,Too much,Too much,Not applicable,Not applicable,Not applicable,2147,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,2148,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,About right,About right,About right,About right,About right,About right,About right,About right,Too little,2149,Too much,About right,About right,Don't know,Too little,Too little,About right,Ballot a
2016,Too much,Too little,Too little,Too much,Too little,Too much,Too much,Too little,Too little,Too much,Too little,2150,Too much,Too much,Too much,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too much,Too much,Too little,About right,About right,Not applicable,Not applicable,Not applicable,2151,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,About right,Too little,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,2152,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,Too little,About right,About right,Too little,Too little,Too little,About right,Too little,About right,2153,About right,Too little,Too little,Too little,Too little,About right,About right,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2154,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,2155,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,Too little,Too little,About right,Too little,About right,About right,Too much,Too little,Too little,2156,About right,About right,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Too much,Too little,Too little,About right,About right,Too much,Too little,Too little,About right,About right,Too much,2157,About right,Too much,Too much,Too much,About right,About right,Too much,Ballot b
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,2158,About right,Too little,Too little,Too little,About right,Too little,Too little,Ballot c
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,2159,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Too much,Too much,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,2160,Too much,Too little,Too little,Don't know,Too little,Too little,Too little,Ballot c
2016,Not applicable,About right,Too little,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,2161,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,Too little,About right,About right,About right,About right,Too little,About right,About right,Too little,2162,About right,About right,Too little,About right,About right,About right,Too little,Ballot a
2016,Not applicable,About right,About right,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,2163,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,Too little,About right,Too little,Too little,Too little,About right,Too little,Too little,About right,2164,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,2165,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,Too little,Don't know,About right,Too little,About right,Too little,Too much,About right,Too much,2166,Don't know,Too little,Too little,Too much,Too little,Too little,Too little,Ballot b
2016,Too much,About right,Too little,About right,About right,Too much,About right,About right,Too much,Too little,About right,2167,About right,Too much,About right,About right,Too little,Too little,Too little,Ballot c
2016,Don't know,About right,Don't know,About right,About right,Don't know,Don't know,Too little,Too much,About right,Don't know,2168,Don't know,Too little,Too little,Don't know,Don't know,Don't know,Too little,Ballot b
2016,Too much,Too little,Don't know,About right,Too little,About right,About right,Too little,Too much,Too little,Too little,2169,Don't know,Too little,Too little,Don't know,Too little,Too little,Too little,Ballot c
2016,Not applicable,About right,About right,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,2170,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,About right,Too much,Too much,Too little,Too much,Not applicable,Not applicable,Not applicable,2171,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,Too little,Too little,About right,About right,About right,Too little,Too much,About right,Too little,2172,About right,Too little,About right,Too little,About right,Too little,Too little,Ballot c
2016,Not applicable,About right,About right,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,2173,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,2174,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too much,About right,Too much,About right,Too much,About right,Too little,Too much,About right,Too much,2175,Too little,Too much,Don't know,Too much,About right,Don't know,Too much,Ballot c
2016,Not applicable,About right,Too little,Don't know,About right,Too little,Don't know,Don't know,Not applicable,Not applicable,Not applicable,2176,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,2177,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,About right,About right,About right,Too little,Too little,Too much,Too little,Too little,2178,Too little,Too little,Too little,About right,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,2179,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,Too little,Too much,About right,Too little,About right,About right,About right,Too little,Too little,2180,About right,Too little,About right,Too little,Too little,Too little,Too little,Ballot c
2016,About right,Too little,Too little,About right,Too little,Too little,Too much,Too little,Too much,Too much,Don't know,2181,Too much,Too little,Too little,About right,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,About right,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2182,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too much,Too little,2183,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,About right,Too little,About right,About right,About right,Too much,About right,Not applicable,Not applicable,Not applicable,2184,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too little,About right,About right,About right,About right,Too much,About right,Too much,Too little,About right,2185,Too much,About right,About right,About right,Too little,About right,About right,Ballot c
2016,Not applicable,About right,About right,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,2186,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,Too little,Don't know,About right,Don't know,Too little,Too little,Too much,Too little,Too much,2187,Don't know,Don't know,Too much,Too much,Too little,Too little,Too much,Ballot a
2016,Too much,About right,Too little,About right,About right,About right,About right,Too little,Too much,About right,Too much,2188,About right,About right,Too little,Too little,Too little,About right,Too little,Ballot b
2016,Too little,Too little,About right,About right,About right,About right,About right,About right,About right,About right,Too little,2189,About right,Too little,Too little,About right,About right,About right,About right,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,2190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too much,About right,About right,Too much,About right,About right,Not applicable,Not applicable,Not applicable,2191,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,About right,Too little,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2192,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,About right,About right,Too little,About right,Too little,Too little,Too little,About right,Too much,About right,2193,Too little,About right,Too little,About right,About right,About right,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,Too much,Too little,Too much,Too little,Not applicable,Not applicable,Not applicable,2194,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,Too much,About right,Too little,About right,Too little,Too much,About right,Too little,2195,Too little,Too little,Too little,About right,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,About right,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,2196,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,About right,About right,Too little,Too little,Too little,Too much,Too little,Too much,About right,2197,About right,Too much,About right,About right,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,About right,Too much,About right,Too much,Too little,Not applicable,Not applicable,Not applicable,2198,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,About right,Too little,About right,Too little,Too little,Too little,About right,Too much,Too little,2199,Too much,Too much,Too much,Too much,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,About right,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,2200,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,2201,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Don't know,Too little,Don't know,About right,Don't know,About right,Don't know,Not applicable,Not applicable,Not applicable,2202,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,Too little,Don't know,About right,Too little,Too much,Too little,Too much,Too little,Don't know,2203,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,About right,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2204,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,Too much,Too little,About right,About right,About right,About right,Too much,About right,About right,2205,About right,About right,About right,About right,About right,Too little,Too little,Ballot b
2016,Not applicable,About right,About right,About right,Too little,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,2206,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,About right,About right,Too little,About right,About right,Too little,Not applicable,Not applicable,Not applicable,2207,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,About right,Too little,About right,About right,Too much,About right,Too much,About right,About right,2208,Too much,About right,About right,Too much,Too little,About right,About right,Ballot b
2016,About right,Too little,Too little,Too much,About right,Too little,Too little,About right,Too much,About right,Too little,2209,About right,Too little,Too little,Too little,Too little,Too much,Too little,Ballot c
2016,About right,About right,About right,About right,About right,About right,About right,About right,About right,Too little,Too little,2210,About right,Too little,Too little,About right,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2211,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,About right,About right,About right,Too little,About right,About right,Too little,About right,About right,Don't know,2212,Too little,Too little,Too little,Too much,Too little,Too little,Too little,Ballot b
2016,Not applicable,About right,About right,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,2213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,About right,Too little,About right,Too little,About right,Too little,About right,About right,Too little,2214,About right,Too little,Too little,Too little,About right,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2215,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,Too little,About right,Too much,Too little,Too little,Too little,Too much,About right,Too little,2216,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Don't know,Too little,About right,About right,About right,About right,Too little,Too little,Don't know,About right,About right,2217,About right,About right,Too much,About right,Too little,Don't know,Don't know,Ballot b
2016,Not applicable,About right,Don't know,Too little,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,2218,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,About right,About right,Too little,Too little,About right,Too little,Too much,Too much,About right,2219,Too much,About right,Too little,About right,About right,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too much,Too little,About right,Too much,About right,Not applicable,Not applicable,Not applicable,2220,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Don't know,Too little,About right,About right,Too little,Too little,About right,About right,About right,About right,Don't know,2221,About right,Too little,Too little,About right,About right,Too little,Too little,Ballot c
2016,Too much,Too little,Too little,About right,About right,About right,About right,About right,Too much,About right,About right,2222,Too much,About right,Too little,Too little,Too little,Too much,Too little,Ballot a
2016,Not applicable,About right,About right,Too little,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,2223,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,About right,Too much,Too much,Too little,Too little,About right,About right,About right,Too little,2224,Too little,Too little,About right,About right,Too much,About right,Too little,Ballot b
2016,About right,Too little,Don't know,About right,Too little,Too little,About right,About right,About right,About right,Too little,2225,About right,Too little,Too little,Too little,Too little,About right,Too little,Ballot a
2016,Not applicable,Too little,About right,Too little,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,2226,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too much,Too little,Too much,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,2227,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,About right,Don't know,About right,Too much,About right,About right,Not applicable,Not applicable,Not applicable,2228,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,Too little,About right,Too little,Too little,Too much,Too little,Too little,Too much,Too little,2229,Too much,Too little,Too little,About right,Too little,About right,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,2230,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,Too much,Too little,About right,About right,Too little,Too little,Too much,About right,About right,2231,About right,About right,About right,Too much,About right,About right,Too little,Ballot b
2016,Not applicable,Too much,About right,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,2232,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
