text,topic
"An act to add Section 2887 to the Public Utilities Code, relating to telecommunications.",Technology and Communication
"An act to amend Section 22100 of the Financial Code, relating to financial institutions.",Commerce
"An act to amend Section 49062 of the Education Code, relating to pupil records.",Education
"An act to amend Section 89500 of the Education Code, relating to public postsecondary education.",Labor and Employment
"An act to amend Section 65583 of the Government Code, relating to land use.",Housing and Property
"An act to amend Section 21655.5 of the Vehicle Code, relating to vehicles.",Transportation
"An act to add Article 10.10 (commencing with Section 25219.5) to Chapter 6.5 of Division 20 of the Health and Safety Code, relating to consumer product safety.",Business and Consumers
"An act to amend Sections 33445 and 33679 of, and to add Sections 33445.1 and 33505 to, the Health and Safety Code, relating to redevelopment.",Housing and Property
"An act to add Section 52052.7 to the Education Code, relating to pupil assessments.",Education
"An act to add Section 580e to the Code of Civil Procedure, relating to mortgages.",Housing and Property
"An act to amend Section 4800 of the Business and Professions Code, relating to veterinary medicine.",Science and Medical Research
"An act to amend Section 1748.30 of, and to add Section 1748.33 to, the Civil Code, relating to debit cards.",Business and Consumers
"An act to amend Section 10004 of the Water Code, relating to water resources.",Environmental
"An act to amend Section 6093 of the Revenue and Taxation Code, relating to taxation.","Budget, Spending, and Taxes"
"An act to amend Section 10 of the Family Code, relating to family law.",Legal Issues
"An act to amend Sections 1808.4 and 2431 of the Vehicle Code, relating to the Department of Motor Vehicles.",Transportation
"An act to amend Sections 17053.74 and 23622.7 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
"An act to amend Sections 10026, 10085, 10133.1, and 10177 of, to add Section 10147.6 to, and to add and repeal Sections 6106.3 and 10085.6 of, the Business and Professions Code, to amend Section 2945.1 of, to add Section 2944.6 to, and to add and repeal Section 2944.7 of, the Civil Code, and to amend Section 22161 of the Financial Code, relating to mortgage loans, and declaring the urgency thereof, to take effect immediately.",Housing and Property
"An act to amend Section 288 of the Penal Code, relating to crime.",Crime
"An act to amend Section 5002 of the Public Resources Code, relating to parks and recreation.",Public Services
"An act to amend Section 11349.3 of, and to add Article 5.5 (commencing with Section 11348.5) to Chapter 3.5 of Part 1 of Division 3 of Title 2 of, the Government Code, relating to regulations.",Other
"An act to amend Section 19542 of the Business and Professions Code, relating to horse racing.",Recreation
"An act to amend Section 1602 of the Fish and Game Code, relating to fish and wildlife.",State Agencies
An act relating to state property.,State Agencies
"An act to amend Sections 21 and 21100 of the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Sections 18400.1, 18400.3, 18424, and 18502 of the Health and Safety Code, relating to mobilehomes.",Housing and Property
"An act to amend Section 2397 of the Business and Professions Code, relating to healing arts.",Health
"An act to amend Sections 22, 102.3, 473, 473.15, 473.16, 473.2, 473.3, 473.4, 473.5, 473.6, 474, 474.1, 474.2, 474.3, 474.4, 1620.1, 1632.5, 1634.2, 1638.1, 1638.7, 4001.5, 4200.1, 4200.3, 4934.2, 5000, 5811, 6704.1, 7000.5, 7303.2, 9882, 18824, and 18882 of, to amend the heading of Division 1.2 (commencing with Section 473) of, and to add Chapter 3 (commencing with Section 474.5) to Division 1.2 of, the Business and Professions Code, and to amend Sections 9148.52 and 9148.8 of the Government Code, relating to legislative procedure.",Business and Consumers
"An act to amend Sections 1294, 1296, 14501, 44662, 44929.21, 44936, 44944, 44945, 44955, and 44956 of, to amend and repeal Section 44660 of, to add Sections 44660.5, 44955.1, and 44955.2 to, and to repeal Section 44949 of, the Education Code, relating to school districts, and declaring the urgency thereof, to take effect immediately.",Education
"An act to add Section 14025 to the Unemployment Insurance Code, relating to workforce development.",Labor and Employment
"An act to amend Section 69439 of the Education Code, relating to student financial aid.",Education
"An act to add Chapter 6.8 (commencing with Section 50676) to Part 2 of Division 31 of the Health and Safety Code, relating to housing.",Housing and Property
"An act to add Section 65923, 65923.1, 65923.2, 65923.3, and 65923.4 to, and to add Article 4 (commencing with Section 65946) and Article 4.5 (commencing with Section 65948) to Chapter 4.5 of Division 1 of Title 7 of, the Government Code, relating to development, and declaring the urgency thereof, to take effect immediately.",Other
"An act to amend Sections 17041 and 17062 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
"An act to add and repeal Section 1367.655 of the Health and Safety Code, and to add and repeal Section 10123.205 of the Insurance Code, relating to health care coverage.",Health
"An act to amend Section 2625 of, and to add Section 2626 to, the Penal Code, relating to prisoners.",Family and Children Issues
"An act to add Section 14631 to the Government Code, relating to the State Capitol.",State Agencies
"An act to add Section 185039 to the Public Utilities Code, relating to workforce training, and making an appropriation therefor.",Labor and Employment
"An act to add Section 185036.5 to the Public Utilities Code, relating to transportation.",Transportation
"An act to add Article 5.5 (commencing with Section 14183) to Chapter 7 of Part 3 of Division 9 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to add Article 7 (commencing with Section 10390) to Chapter 2 of Part 2 of Division 2 of the Public Contract Code, relating to public contracts.",Labor and Employment
"An act to amend Section 17144.5 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Housing and Property
"An act to add Article 5 (commencing with Section 125286.1) to Chapter 2 of Part 5 of Division 106 of the Health and Safety Code, relating to genetic disease services.",Health
"An act to add Section 3055.4 to the Penal Code, relating to parole.",Crime
"An act to amend Section 1635 of, to add Section 1643.3 to, and to repeal and add Section 1639.01 of, the Health and Safety Code, relating to tissue banks.",Health
"An act to amend Section 34100 of the Health and Safety Code, relating to community development.",Other
"An act to amend Section 11100 of the Vehicle Code, relating to vehicles.",Education
"An act to add Part 14 (commencing with Section 15987) to Division 3 of Title 2 of the Government Code, relating to business licensing.",Business and Consumers
"An act to amend Section 5007 of the Vehicle Code, relating to vehicles.",Military
"An act to amend Section 1861.02 of the Insurance Code, relating to insurance.",Insurance
"An act to add Sections 17053.13 and 23623.2 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Education
"An act to amend Section 328.2 of the Public Utilities Code, relating to energy.",Energy
"An act to amend Section 374 of the Public Utilities Code, relating to electrical restructuring.",Energy
"An act to add Section 11349.95 to the Government Code, relating to regulations, and declaring the urgency thereof, to take effect immediately.",Other
"An act to amend Section 6547 of, to add Sections 6503.6, 6548.5, 6592.1, and 53895.7 to, and to add Chapter 10.7 (commencing with Section 5870) to Division 6 of Title 1 of, the Government Code, relating to joint exercise of powers.",Other
"An act to amend Section 512 of the Labor Code, relating to employment, and declaring the urgency thereof, to take effect immediately.",Labor and Employment
"An act to amend Section 3001 of the Penal Code, relating to parole.",Crime
"An act to amend Section 13001 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to add Section 66452.10.5 to the Government Code, relating to housing.",Housing and Property
"An act to amend Section 900 of the Insurance Code, relating to insurance.",Insurance
"An act to amend Section 1262.5 of, and to add Sections 1262.9 and 1264.5 to, the Health and Safety Code, and to add Division 13 (commencing with Section 22100) to, and to repeal Section 22104 of, the Welfare and Institutions Code, relating to long-term care services.",Health
"An act to amend Section 2570.19 of the Business and Professions Code, relating to healing arts.",Health
"Relative to the adoption of the Joint Rules of the Senate and Assembly for the 2009Ã¢â‚¬""10 Regular Session.",Legislative Affairs
Relative to Railroad Safety Month.,Transportation
Relative to the Northern California Golf Association Foundation.,Recreation
Relative to California Golf Week.,Recreation
Relative to Cinco de Mayo Week.,Other
Relative to Foster Care Month.,Family and Children Issues
Relative to the National Purple Heart Trail.,Military
Relative to federal immigration policy reform.,Immigration
Relative to California Golf Week.,Recreation
Relative to the integration of college sports.,Education
Relative to Pain Awareness Month and Women In Pain Awareness Day.,Health
Relative to California Chronic Kidney Disease Education Week.,Resolutions
Relative to Arizona law.,Other
Relative to California Youth Crisis Line Awareness Month.,Resolutions
Relative to Bone Marrow Donation Awareness Month.,Resolutions
Relative to the Douglas B. Dunaway Memorial Bridge.,Transportation
Relative to the defense of Israel.,Military
Relative to the Correctional Officer Jose Rivera Memorial Highway.,Transportation
Relative to the Steve Faris Memorial Highway.,Transportation
Relative to the CHP Officer Earl Scott Memorial Highway.,Transportation
Relative to the creation of the Joint Committee for the Protection of Lake Tahoe.,Environmental
Relative to Prostate Cancer Awareness Month.,Health
Relative to Earth Hour.,Environmental
Relative to DMV/Donate Life California Registry.,Transportation
Relative to Irish American Heritage Month.,Other
Relative to Respiratory Syncytial Virus Awareness Month.,Health
Relative to Jewish American Heritage Month.,Resolutions
Relative to the selection of the Legislative Counsel of California.,Legislative Affairs
Relative to the Children of Incarcerated Parents Bill of Rights.,Family and Children Issues
Relative to the Joint Legislative Committee on Emergency Management.,Legislative Affairs
Relative to Colorectal Cancer Awareness Month.,Health
Relative to Chabad Day.,Resolutions
Relative to Valley Fever Awareness Month.,Health
Relative to Automotive Career Month.,Labor and Employment
Relative to National Library Week.,Education
Relative to senior volunteers.,Senior Issues
Relative to Black April Memorial Week.,Resolutions
Relative to a constitutional convention.,Government Reform
Relative to the Betty Meltzer Memorial Highway.,Transportation
Relative to Scleroderma Awareness Month.,Health
Relative to emergency medical services.,Public Services
Relative to Foster Care Month.,Family and Children Issues
Relative to adolescent health.,Health
Relative to the State Air Resources Board.,Environmental
Relative to Amyotrophic Lateral Sclerosis Awareness Month.,Health
Relative to the Senator Daniel E. Boatwright Highway.,Transportation
Relative to juvenile justice.,Family and Children Issues
Relative to California Microenterprise Development Month.,Resolutions
Relative to Classified School Employee Week.,Labor and Employment
Relative to California Water Awareness Month.,Environmental
Relative to child care.,Family and Children Issues
Relative to United States Travel Rally Day.,Transportation
Relative to Aquatics Safety Month.,Health
Relative to education funding.,Education
Relative to Filipino American History Month.,Resolutions
Relative to spending federal economic recovery plan funds.,Campaign Finance and Election Issues
Relative to the Marine Corporal Christopher D. Leon Memorial Highway.,Transportation
Relative to earthquakes.,Resolutions
"Relative to New United Motor Manufacturing, Inc.",Transportation
Relative to Health Care Decisions Week.,Health
Relative to coastal development and Marina del Rey.,Environmental
Relative to the CHP Officer David M. Romero Memorial Highway.,Transportation
Relative to hate speech.,Civil Liberties and Civil Rights
Relative to the American Recovery and Reinvestment Act of 2009.,Labor and Employment
Relative to the Prefecture of Athens.,Other
Relative to public safety.,Environmental
Relative to proclaiming National Mentoring Month.,Education
Relative to the William L. Cavala Legislative Office Building.,Legislative Affairs
Relative to secondhand goods.,Business and Consumers
Relative to American Heart Month and Wear Red Day.,Health
Relative to Teen Driving Safety Week.,Transportation
Relative to Colorectal Cancer Awareness Month.,Health
Relative to the American flag.,Resolutions
Relative to Ronald Reagan Day.,Resolutions
Relative to the CHP Officer Richard D. Duvall Memorial Highway.,Transportation
Relative to kidney cancer.,Resolutions
Relative to the 22nd Annual State Scientist Day.,Resolutions
Relative to Black History Month.,Civil Liberties and Civil Rights
Relative to Irish American Heritage Month.,Other
Relative to the California Task Force on Youth and Workplace Wellness.,Labor and Employment
Relative to senior volunteers.,Senior Issues
Relative to wildfires.,Environmental
Relative to human trafficking.,Crime
Relative to Childhood Obesity Prevention and Fitness Week.,Health
Relative to National Library Week.,Education
Relative to Portuguese Heritage Month.,Resolutions
Relative to information and communication technologies digital literacy.,Education
Relative to Lyme Disease Awareness Month.,Health
Relative to California Plan Your Giving Day.,Resolutions
Relative to Neurofibromatosis Awareness Month.,Resolutions
Relative to the Patricia Ann Weston Memorial Highway.,Transportation
Relative to the Joseph A. Zanger Memorial Flyover.,Resolutions
Relative to Prostate Cancer Awareness Month.,Health
Relative to American Stroke Month.,Resolutions
Relative to the Officer Larry Lasater Memorial Overcrossing.,Transportation
Relative to the James F. McManus Memorial Bridge.,Transportation
Relative to affordable in-home Internet service.,Housing and Property
Relative to Autism Awareness Month.,Health
Relative to taxation.,"Budget, Spending, and Taxes"
Relative to Summer Learning and Wellness Month.,Education
Relative to World War II.,Resolutions
Relative to Asian Pacific American Mental Health Day.,Resolutions
Relative to spinal muscular atrophy.,Health
Relative to Lupus Awareness Month.,Resolutions
Relative to military health care.,Military
Relative to Guantanamo Bay.,Civil Liberties and Civil Rights
Relative to new dialysis clinic licensure and certification.,Health
Relative to medical marijuana.,Health
Relative to public health laboratories.,Health
Relative to veteransÃ¢â‚¬â„¢ educational benefits.,Military
Relative to greenhouse gases.,Environmental
Relative to marine aquaculture.,Environmental
Relative to immigration.,Immigration
Relative to college textbook affordability.,Education
Relative to the Port Chicago disaster.,Other
Relative to horses.,Animal Rights and Wildlife Issues
Relative to research for mitochondrial disease.,Health
Relative to violence against women.,"Federal, State, and Local Relations"
Relative to the Filipino Veterans Equity Compensation Fund.,Military
Relative to the Armenian Genocide.,Resolutions
Relative to reunification of Ireland.,Other
Relative to the 2020 Census.,Legislative Affairs
Relative to the aerospace industry.,Transportation
Relative to Taiwan.,Health
Relative to deferred compensation plans.,Legal Issues
Relative to persons with disabilities.,"Budget, Spending, and Taxes"
Relative to career technical education.,Education
Relative to national freight policy.,Commerce
Relative to California wines.,Agriculture and Food
Relative to the federal Gulf of the Farallones and Cordell Bank National Marine Sanctuaries Boundary Modification and Protection Act.,Environmental
Relative to pedestrian safety.,Transportation
Relative to pancreatic cancer.,Health
Relative to electronic cigarettes.,Health
"An act relating to taxation, and declaring the urgency thereof, to take effect immediately.",Commerce
An act relating to taxation.,Commerce
"Institutions Code, relating to the Department of Corrections and Rehabilitation.",State Agencies
"An act to add Sections 6051.7 and 6201.7 to, to add Chapter 5.8 (commencing with Section 32231) to Part 14 of, and to add Part 21 (commencing with Section 42001) to, Division 2 of, the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
"An act to add Section 8543.9 to the Government Code, relating to the State Auditor.",State Agencies
"An act to repeal and add Sections 45103.1, 45103.5, 88003.1, and 88004.5 of the Education Code, and to add Section 3562.3 to the Government Code, relating to public education.",Labor and Employment
"An act to amend Sections 4639.5, 4640.6, 11453, 12201, and 12201.05 of the Welfare and Institutions Code, relating to human services.",Public Services
"An act to add Section 7203.3 to the Revenue and Taxation Code, relating to local government finance.",Municipal and County Issues
"An act to add and repeal Section 18005 of the Government Code, relating to state employment, and declaring the urgency thereof, to take effect immediately.",Labor and Employment
"An act to amend Section 10177 of the Business and Professions Code, to add Section 2923.1 to the Civil Code, and to amend Section 50505 of, to add Sections 1242, 14961, and 22346 to, and to add Division 1.9 (commencing with Section 4995) to, the Financial Code, relating to lending.",Commerce
"An act to amend Section 511 of the Labor Code, relating to employment.",Labor and Employment
An act relating to the Budget Act of 2008.,"Budget, Spending, and Taxes"
"An act to amend Section 11011 of the Government Code, to add Section 43018.2 to the Health and Safety Code, to add and repeal Sections 21080.41 and 21080.42 of the Public Resources Code, and to add Section 130240.5 to the Public Utilities Code, relating to state government.",State Agencies
"An act to add Section 8543.9 to the Government Code, relating to the State Auditor.",State Agencies
"An act to add Section 1936.015 to the Civil Code, relating to vehicle license fees.",Transportation
An act relating to the Budget Act of 2008.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2008.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2008.,"Budget, Spending, and Taxes"
"An act to amend Section 511 of the Labor Code, relating to employment.",Labor and Employment
An act relating to the Budget Act of 2008.,"Budget, Spending, and Taxes"
"An act to amend Section 11011 of the Government Code, to add Section 43018.2 to the Health and Safety Code, to add and repeal Sections 21080.41 and 21080.42 of the Public Resources Code, and to add Section 130240.5 to the Public Utilities Code, relating to state government.",State Agencies
"12.50, 12.55, 13.10, 13.25, 13.50, 15.30, 17.50, 17.80, 18.00, 18.10, 18.20, 18.30, 18.40, 18.50, 18.60, 24.60, and 25.25 to, and by repealing Section 24.65 of, that act, relating to the State Budget, and making an appropriation therefor.","Budget, Spending, and Taxes"
"An act calling an election, and declaring the urgency thereof, to take effect immediately.",Campaign Finance and Election Issues
"An act to amend Sections 8880.5.5 and 8880.56 of, to add Article 4.5 (commencing with Section 8880.46.5) to Chapter 12.5 of Division 1 of Title 2 of, and to repeal Sections 8880.43 and 8880.67 of, the Government Code, relating to the California State Lottery, and declaring the urgency thereof, to take effect immediately.",Commerce
"An act relating to elections, and declaring the urgency thereof, to take effect immediately.",Campaign Finance and Election Issues
"An act to amend Sections 31 and 7145.5 of the Business and Professions Code, to amend Sections 6203, 18661, 18663, 19025, 19116, 19136, 19136.1, 19504, 19571, 19755, and 19777 of, and to add Sections 6225, 18407.5, 18662.5, 18664, 19265, 19266, 19560.5, and 19777.1 to, the Revenue and Taxation Code, and to amend Section 13020 of the Unemployment Insurance Code, relating to taxation.","Budget, Spending, and Taxes"
An act to relating to taxation.,Business and Consumers
"An act to amend Item 5240-301-0660 of Section 2.00 of the Budget Act of 2003 (Chapter 157 of the Statutes of 2003), and to amend Items 5225-301-0660 and 5225-491 of Section 2.00 of the Budget Act of 2008 (Chapters 268 and 269 of the Statutes of 2008), relating to the state budget.","Budget, Spending, and Taxes"
An act relating to the Healthy Families Program.,Health
An act relating to Medi-Cal.,Health
"An act to amend Sections 17282 and 24436.1 of, and to repeal Sections 17281 and 24436 of, the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Business and Consumers
"An act to amend Section 6203 of the Revenue and Taxation Code, relating to taxation.",Commerce
"An act to amend Section 23040 of the Revenue and Taxation Code, relating to taxation.",Commerce
"An act to amend Section 41964 of the Health and Safety Code, relating to air pollution.",Environmental
An act relating to economic stimulus.,Education
"An act to amend Section 44955 of the Education Code, relating to school employees, and declaring the urgency thereof, to take effect immediately.",Labor and Employment
relating to energy.,Energy
"An act to amend Sections 25450, 25450.1, and 25450.3 of, to add Section 25450.4 to, and to repeal and add Section 25450.2 of, the Public Resources Code, relating to energy.",Energy
"An act relating to the Chino Valley Unified School District, and declaring the urgency thereof, to take effect immediately.",Education
"1 (commencing with Section 41800) of Chapter 7 of Part 2 of Division 30 of, to add Section 40400 to, to repeal Sections 42416 and 48502 of, and to repeal Chapter 3 (commencing with Section 40400) of Part 1 of Division 30 of, the Public Resources Code, to amend Section 7718 of the Public Utilities Code, to amend Sections 45855, 45863, 45981, and 45982 of the Revenue and Taxation Code, and to amend Section 31560 of the Vehicle Code, relating to integrated waste management.",Environmental
"An act to amend Section 13311.1 of the Government Code, to amend Section 2103.1 of the Streets and Highways Code, to add Section 12104 to the Welfare and Institutions Code, and to amend Section 39 of Chapter 12 of the Third Extraordinary Session of the Statutes of 2009, relating to state finances.","Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to amend Sections 1240.3, 2558.46, 8279.7, 8357, 8447, 42238.146, 60422.1, 66021.2, 69432.7, and 76300 of, to amend and repeal Section 33128.3 of, to amend, repeal, and add Section 47634.1 of, to add Sections 8481, 41202.5, and 84043 to, to add and repeal Sections 17463.7, 46201.2, 60422.2, and 60851.5 of, to repeal Section 8278 of, and to repeal Article 22 (commencing with Section 8460) of Chapter 2 of Part 6 of Division 1 of Title 1 of, the Education Code, and to amend Item 6110-113-0890 of Section 2.00 of the Budget Act of 2009 (Chapter 1 of the Statutes of 2009, Third Extraordinary Session), relating to education finance, and making an appropriation therefor.",Education
"14526.2, and 14550.6 to, and to repeal Sections 14522.3, 14526.1, and 14550.5 of, the Welfare and Institutions Code, relating to health.",Health
"An act to amend Sections 95004, 95014, and 95020 of, and to add Section 95021 to, the Government Code, to amend Sections 4648, 4648.1, 4659, 4677, 4685, 4686, 4689, 4784, and 7502.5 of, to amend the heading of Chapter 4 (commencing with Section 4570) of Division 4.5 of, to amend and repeal Sections 4418.1 and 4570 of, and to add Sections 4435, 4571, 4648.35, 4648.5, 4648.6, 4686.2, 4686.5, 4688.1, 4688.2, 4688.3, 4689.05, and 4692 to, the Welfare and Institutions Code, relating to public social services.","Budget, Spending, and Taxes"
"amend Section 679.02 of the Penal Code, to amend Sections 7204.3 and 7273 of the Revenue and Taxation Code, and to add Sections 10214.6 and 14022 to the Unemployment Insurance Code, relating to state government.",State Agencies
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to amend Sections 5845, 5846, 5847, and 14154 of, and to add Sections 14131.10 and 14166.225 to, the Welfare and Institutions Code, relating to health, and declaring the urgency thereof, to take effect immediately.",Health
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to amend Section 5 of Chapter 3 of, and to repeal Section 39 of Chapter 2 of, the Fourth Extraordinary Session of the Statutes of 2009, relating to education finance, and making an appropriation therefor.",Education
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to amend Sections 4639.5, 4640.6, 11453, 12201, 12305.1, and 12306.1 of, to add Sections 11450.02 and 12200.019 to, and to add and repeal Section 12200.018 of, the Welfare and Institutions Code, relating to human services, and declaring the urgency thereof, to take effect immediately.",Public Services
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to amend Section 17221.5 of the Government Code, relating to state funds, and declaring the urgency thereof, to take effect immediately.",State Agencies
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to amend Section 1520.5 of the Code of Civil Procedure, relating to unclaimed property.",Other
"An act to amend Section 14043.46 of the Welfare and Institutions Code, relating to adult day health care centers.",Health
"An act to add Section 57006 to the Health and Safety Code, relating to environmental protection.",Environmental
"An act to add and repeal Section 18005 of the Government Code, relating to state employment.",Labor and Employment
"An act to add Section 65701 to the Government Code, relating to land use.",Recreation
"An act to amend Section 7074.2 of the Government Code, and to amend Section 26003 of, and to add Section 26011.7 to, the Public Resources Code, relating to economic development.",Commerce
"An act relating to housing, and making an appropriation therefor.",Housing and Property
"(commencing with Section 41800) of Chapter 7 of Part 2 of Division 30 of, to repeal Sections 42416 and 48502 of, the Public Resources Code, to amend Section 7718 of the Public Utilities Code, to amend Sections 45855, 45863, 45981, and 45982 of the Revenue and Taxation Code, and to amend Section 31560 of the Vehicle Code, relating to solid waste.",Environmental
"An act to amend Sections 8869.82, 91501, 91502, 91502.1, 91503, 91504, 91527, 91530, 91531, 91533, 91538, 91539, 91541, 91555, 91559, 91571, and 91573 of the Government Code, relating to bonds.",Commerce
"An act calling an election, and declaring the urgency thereof, to take effect immediately.",Campaign Finance and Election Issues
"An act to amend Sections 8880.5.5 and 8880.56 of, to add Article 4.5 (commencing with Section 8880.46.5) to Chapter 12.5 of Division 1 of Title 2 of, and to repeal Sections 8880.43 and 8880.67 of, the Government Code, relating to the California State Lottery, and declaring the urgency thereof, to take effect immediately.",Commerce
"7350-011-0001, 7350-012-0001, 7980-101-0784, 8855-011-0001, 8940-001-3085, and 9350-104-6065 to, and by repealing Items 0558-001-0001, 0650-001-0214, 0650-011-0001, 0650-101-0214, 3480-101-0867, 3600-001-0404, 3860-101-0544, 4200-001-3019, 4200-101-3019, 4200-105-0001, 4260-101-0236, 4260-111-0233, 4265-111-0232, 4265-111-0233, 4265-111-6051, 4265-301-0001, 4280-101-0236, 4280-104-0236, 4280-104-0890, 4280-111-0232, 4300-101-3148, 6110-008-0046, 6110-111-0046, 6110-111-3116, and 6870-301-6028 of, Section 2.00 of that act, and by amending Sections 3.60, 3.90, 4.01, 4.12, 12.00, 12.32, 12.42, 25.50, and 35.50 of, by adding Sections 3.55, 4.85, 8.55, 12.45, 12.50, 12.55, 13.10, 13.25, 13.50, 15.30, 17.50, 17.80, 18.00, 18.10, 18.20, 18.30, 18.40, 18.50, 18.60, 24.60, and 25.25 to, and by repealing Section 24.65 of, that act, relating to the State Budget, and making an appropriation therefor.","Budget, Spending, and Taxes"
"An act calling an election, and declaring the urgency thereof, to take effect immediately.",Campaign Finance and Election Issues
"An act to amend and supplement the Budget Act of 2009 by amending Item 0840-001-0001 of Section 2.00 of that act, relating to the State Budget, and declaring the urgency thereof, to take effect immediately.","Budget, Spending, and Taxes"
"An act to amend Item 5240-301-0660 of Section 2.00 of the Budget Act of 2003 (Chapter 157 of the Statutes of 2003), and to amend Items 5225-301-0660 and 5225-491 of Section 2.00 of the Budget Act of 2008 (Chapters 268 and 269 of the Statutes of 2008), relating to the state budget.","Budget, Spending, and Taxes"
"An act to repeal and add Sections 45103.1, 45103.5, 88003.1, and 88004.5 of the Education Code, and to add Section 3562.3 to the Government Code, relating to public education.",Labor and Employment
"An act to add Section 17203.5 to the Government Code, relating to state warrants.","Budget, Spending, and Taxes"
"An act to amend and repeal Section 130105 of, to repeal Sections 130110, 130115, 130120, 130125, 130130, 130135, 130140, 130140.1, 130145, 130150, 130151, and 130155 of, and to repeal and add Section 130100 of, the Health and Safety Code, relating to child development, and declaring the urgency thereof, to take effect immediately.",Family and Children Issues
"An act to add Section 116760.45 to the Health and Safety Code, and to amend Sections 10631.5, 13476, and 13480 of the Water Code, relating to drinking water, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Environmental
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to amend Section 17059 of the Revenue and Taxation Code, relating to taxation, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Housing and Property
"An act to amend Section 17059 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Housing and Property
"1 (commencing with Section 41800) of Chapter 7 of Part 2 of Division 30 of, to add Section 40400 to, to repeal Sections 42416 and 48502 of, and to repeal Chapter 3 (commencing with Section 40400) of Part 1 of Division 30 of, the Public Resources Code, to amend Section 7718 of the Public Utilities Code, to amend Sections 45855, 45863, 45981, and 45982 of the Revenue and Taxation Code, and to amend Section 31560 of the Vehicle Code, relating to integrated waste management.",Environmental
"of the Statutes of 2008, relating to education finance, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Education
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
